60

C	 1.00131785       0.72750000      -3.32555531
C	 1.95859147       1.42300000      -2.59426333
C	 2.95990932       0.69550000      -1.82932456
C	 2.95990932      -0.69550000      -1.82932456
C	 1.95859147      -1.42300000      -2.59426333
C	 1.00131785      -0.72750000      -3.32555531
C	-0.38246938      -1.17711973      -3.32555531
C	-1.23769693       0.00000000      -3.32555531
C	-0.38246938       1.17711973      -3.32555531
C	-0.74811537       2.30246237      -2.59426333
C	 0.25320247       3.02996237      -1.82932456
C	 1.57612209       2.60011973      -1.82932456
C	 2.34106086       2.60011973      -0.59162764
C	 3.19628840       1.42300000      -0.59162764
C	 3.42227005       0.72750000       0.59162764
C	 3.42227005      -0.72750000       0.59162764
C	 3.19628840      -1.42300000      -0.59162764
C	 2.34106086      -2.60011973      -0.59162764
C	 1.57612209      -2.60011973      -1.82932456
C	 0.25320247      -3.02996237      -1.82932456
C	-0.74811537      -2.30246237      -2.59426333
C	-1.98581230      -2.30246237      -1.82932456
C	-2.80342158      -1.17711973      -1.82932456
C	-2.42095220       0.00000000      -2.59426333
C	-2.80342158       1.17711973      -1.82932456
C	-1.98581230       2.30246237      -1.82932456
C	-1.74943322       3.02996237      -0.59162764
C	-0.36564599       3.47958209      -0.59162764
C	 0.36564599       3.47958209       0.59162764
C	 1.74943322       3.02996237       0.59162764
C	 1.98581230       2.30246237       1.82932456
C	 2.80342158       1.17711973       1.82932456
C	 2.42095220      -0.00000000       2.59426333
C	 2.80342158      -1.17711973       1.82932456
C	 1.98581230      -2.30246237       1.82932456
C	 1.74943322      -3.02996237       0.59162764
C	 0.36564599      -3.47958209       0.59162764
C	-0.36564599      -3.47958209      -0.59162764
C	-1.74943322      -3.02996237      -0.59162764
C	-2.34106086      -2.60011973       0.59162764
C	-3.19628840      -1.42300000       0.59162764
C	-3.42227005      -0.72750000      -0.59162764
C	-3.42227005       0.72750000      -0.59162764
C	-3.19628840       1.42300000       0.59162764
C	-2.34106086       2.60011973       0.59162764
C	-1.57612209       2.60011973       1.82932456
C	-0.25320247       3.02996237       1.82932456
C	 0.74811537       2.30246237       2.59426333
C	 0.38246938       1.17711973       3.32555531
C	 1.23769693       0.00000000       3.32555531
C	 0.38246938      -1.17711973       3.32555531
C	 0.74811537      -2.30246237       2.59426333
C	-0.25320247      -3.02996237       1.82932456
C	-1.57612209      -2.60011973       1.82932456
C	-1.95859147      -1.42300000       2.59426333
C	-2.95990932      -0.69550000       1.82932456
C	-2.95990932       0.69550000       1.82932456
C	-1.95859147       1.42300000       2.59426333
C	-1.00131785       0.72750000       3.32555531
C	-1.00131785      -0.72750000       3.32555531
